idx,job_id,node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline,extendable
0,5,jgoldverg@gmail.com-ccuc,0,3600.0,325.21355524642416,914758995.5467492,8745.472893894223,25,False
0,5,jgoldverg@gmail.com-ccuc,1,3600.0,325.21355524642416,914758995.5467492,8745.472893894223,25,False
0,5,jgoldverg@gmail.com-ccuc,2,1545.4728938942226,329.1475901889212,914758995.5467492,8745.472893894223,25,False
1,9,jgoldverg@gmail.com-ccuc,22,2630.64711406733,99.78709423815604,912323050.5399414,2630.64711406733,25,False
2,4,jgoldverg@gmail.com-ccuc,2,708.844726121736,26.66561790829837,902877564.5995104,708.844726121736,10,False
3,3,jgoldverg@gmail.com-ccuc,2,621.490072124209,23.377770383508988,901060250.3849494,621.490072124209,3,False
4,7,jgoldverg@gmail.com-ccuc,2,621.490072124209,23.377770383508988,901060250.3849494,621.490072124209,12,False
5,1,jgoldverg@gmail.com-ccuc,22,446.7807641291549,16.935956412288235,895293692.3765332,446.7807641291549,15,False
6,2,jgoldverg@gmail.com-ccuc,22,446.7807641291549,16.935956412288235,895293692.3765332,446.7807641291549,5,False
7,8,jgoldverg@gmail.com-ccuc,11,272.07145613410086,10.34860793715248,882121202.3127732,272.07145613410086,6,False
8,6,jgoldverg@gmail.com-ccuc,11,184.71680213657388,7.021463429995105,866190829.1466683,184.71680213657388,8,False
