idx,job_id,node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline,extendable
0,1,jgoldverg@gmail.com-cali,0,97.60601955451217,16.56698590163934,819621580.3608367,97.60601955451217,15,False
1,6,jgoldverg@gmail.com-cali,0,185.20395769884206,31.54954295081967,863912423.8380158,185.20395769884206,8,False
2,8,jgoldverg@gmail.com-cali,0,272.80189584317196,46.53202224043716,879759281.9441801,272.80189584317196,6,False
3,2,jgoldverg@gmail.com-cali,0,447.99777213183177,76.49705857923496,892861582.9863825,447.99777213183177,5,False
4,3,jgoldverg@gmail.com-cali,0,623.1936484204916,106.46217267759562,898597091.6413248,623.1936484204916,3,False
5,7,jgoldverg@gmail.com-cali,0,623.1936484204916,106.46217267759562,898597091.6413248,623.1936484204916,12,False
6,4,jgoldverg@gmail.com-cali,0,710.7915865648215,121.44472972677595,900404580.0444129,710.7915865648215,10,False
7,9,jgoldverg@gmail.com-cali,1,2637.9462257400796,451.0603627322404,909798682.2406422,2637.9462257400796,25,False
8,5,jgoldverg@gmail.com-cali,2,2923.267298614391,1499.8373344262293,912221290.1744047,2923.267298614391,25,False
8,5,jgoldverg@gmail.com-cali,3,2923.267298614391,1499.8373344262293,912221290.1744047,2923.267298614391,25,False
8,5,jgoldverg@gmail.com-cali,4,2923.267298614391,1499.8373344262293,912221290.1744047,2923.267298614391,25,False
